pid,window_start_t,window_end_t,n_events,mean_dt,std_dt,max_dt,frac_success,any_page_execute,any_exec_ext,any_suspicious_dir,any_desired_access_execute,mean_offset,offset_monotonic,op_frac_CreateFile,op_frac_CreateFileMapping,op_frac_ReadFile,op_frac_WriteFile,op_frac_Thread Create,op_frac_Process Create,op_frac_LoadImage,op_frac_VirtualAlloc,op_frac_WriteProcessMemory,op_frac_CreateRemoteThread,op_frac_QueryBasicInformationFile,op_frac_QueryStandardInformationFile,op_frac_CloseFile,op_frac_FileSystemControl,op_frac_Other,label,anomaly_score,predicted_attack
4004,77234.1901133,77234.1904062,20,1.5100000018719583e-05,2.103080273737249e-05,0.0001022999931592,0.85,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3051285679718373,0
4004,77234.1901591,77234.190454,20,1.541499950690195e-05,2.0966720903504825e-05,0.0001022999931592,0.8,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3033829629252209,0
4004,77234.1901988,77234.1905947,20,2.018000013777055e-05,2.8739457453104023e-05,0.0001040000061038,0.75,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.2998381951375561,0
4004,77234.1902579,77234.1906535,20,2.017500009969808e-05,2.866347164941356e-05,0.0001040000061038,0.75,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.2998381951375561,0
4004,77234.1904206,77234.1908074,20,2.0059999951627105e-05,2.3327248331587e-05,0.0001040000061038,0.8,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30349815391220164,0
4004,77234.1904667,77234.1908657,20,2.0585000311257317e-05,2.32846090097772e-05,0.0001040000061038,0.85,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3048292123473432,0
4004,77234.1906094,77234.1909847,20,1.9500000053085387e-05,1.3377240821907323e-05,5.01000031363219e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3102845167002734,0
4004,77234.1907036,77234.1910325,20,1.8950000230688603e-05,1.3686357037030336e-05,5.01000031363219e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.309604981927195,0
4004,77234.1908172,77234.1911111,20,1.518499993835576e-05,1.033865199774455e-05,4.25000034738332e-05,0.85,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3034149899117886,0
4004,77234.1908881,77234.1911582,20,1.462500003981404e-05,1.0164899731286778e-05,4.25000034738332e-05,0.8,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3009677562315001,0
4004,77234.1909941,77234.1911978,20,1.065499964170158e-05,6.835858945767186e-06,3.770001058001071e-05,0.75,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.29826688838429666,0
4004,77234.1910405,77234.1912552,20,1.113499965867959e-05,6.978110298011487e-06,3.770001058001071e-05,0.75,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.29826688838429666,0
4004,77234.1911204,77234.1912999,20,9.440000576432796e-06,2.9759404665135296e-06,1.7600003047846258e-05,0.8,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30014572570103876,0
4004,77234.191167,77234.191344,20,9.29000016185455e-06,2.9438438021055563e-06,1.7600003047846258e-05,0.85,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3022095101443347,0
4004,77234.1912053,77234.1913838,20,9.300000237999484e-06,2.931140867728446e-06,1.7600003047846258e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30631818394157506,0
4004,77234.1912626,77234.1914252,20,8.49999996717088e-06,1.9612032790680588e-06,1.3700002455152571e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3064927263730039,0
4004,77234.1913081,77234.1914666,20,8.334999438375235e-06,1.972515427253717e-06,1.3299999409355223e-05,0.85,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3022095101443347,0
4004,77234.1913522,77234.1915038,20,7.989999721758067e-06,1.6147027490073822e-06,1.3199998647905886e-05,0.8,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30021646940045493,0
4004,77234.1913908,77234.1915451,20,8.06499956524931e-06,1.7836320846398757e-06,1.3199998647905886e-05,0.75,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.29787570643785266,0
4004,77234.1914321,77234.1915899,20,8.23500013211742e-06,1.8991054568550356e-06,1.3199998647905886e-05,0.75,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.29787570643785266,0
4004,77234.1914745,77234.191656,20,9.470000077271832e-06,4.587408554856662e-06,2.7300004148855805e-05,0.8,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30024853008929747,0
4004,77234.1915112,77234.1916933,20,9.475000115344302e-06,4.5852022621539445e-06,2.7300004148855805e-05,0.85,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3023130214095503,0
4004,77234.1915526,77234.1917355,20,9.520000457996502e-06,4.6033849266558055e-06,2.7300004148855805e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30627339106932117,0
4004,77234.1916172,77234.1917754,20,9.27500004763715e-06,4.645413107679524e-06,2.7300004148855805e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30627339106932117,0
4004,77234.1916639,77234.1918104,20,7.720000576227904e-06,1.48451266336459e-06,1.209999027196318e-05,0.85,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3022095101443347,0
4004,77234.1917054,77234.1918507,20,7.869999535614625e-06,1.6933585394903662e-06,1.209999027196318e-05,0.8,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30021646940045493,0
4004,77234.1917425,77234.1918905,20,7.750000077066942e-06,1.6614812753021371e-06,1.1699987226165833e-05,0.75,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.29787570643785266,0
4004,77234.1917822,77234.1919286,20,7.6600001193583e-06,1.4441896180366157e-06,1.1600001016631722e-05,0.75,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.29787570643785266,0
4004,77234.1918177,77234.1919712,20,8.039999374886975e-06,1.9413514439902644e-06,1.3700002455152571e-05,0.8,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30021646940045493,0
4004,77234.1918579,77234.1920118,20,8.055000216700137e-06,2.0114091445924187e-06,1.3700002455152571e-05,0.85,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3022095101443347,0
4004,77234.1918975,77234.1920483,20,7.889999687904492e-06,1.820614113898312e-06,1.3700002455152571e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3064927263730039,0
4004,77234.1919359,77234.1920888,20,8.009999874047935e-06,2.048336658650682e-06,1.3700002455152571e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3064927263730039,0
4004,77234.191979,77234.1921243,20,7.655000081285834e-06,1.559173738139818e-06,1.2299991794861851e-05,0.85,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3022095101443347,0
4004,77234.1920196,77234.1923427,20,1.6545000107726082e-05,3.3304611996862243e-05,0.0001571999891893,0.8,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3052267521085078,0
