"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"13:51:19.5716155","Notepad.exe","9928","RegCloseKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS",""
"13:51:19.5716239","Notepad.exe","9928","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","REPARSE","Desired Access: Read"
"13:51:19.5716785","Notepad.exe","9928","RegOpenKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS","Desired Access: Read"
"13:51:19.5717014","Notepad.exe","9928","RegQueryValue","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER\DISABLED","NAME NOT FOUND","Length: 48"
"13:51:19.5717101","Notepad.exe","9928","RegCloseKey","HKLM\System\CurrentControlSet\Control\AppID\Configuration\SMARTLOCKER","SUCCESS",""
"13:51:19.5717777","Notepad.exe","9928","FileSystemControl","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Control: FSCTL_READ_FILE_USN_DATA"
"13:51:19.5719998","Notepad.exe","9928","Load Image","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Image Base: 0x7ff8845f0000, Image Size: 0x4d000"
"13:51:19.5720413","Notepad.exe","9928","ReadFile","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Offset: 270336, Length: 5632, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"13:51:19.5723904","Notepad.exe","9928","ReadFile","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Offset: 196096, Length: 16384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"13:51:19.5727062","Notepad.exe","9928","ReadFile","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Offset: 261632, Length: 8704, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"13:51:19.5730675","Notepad.exe","9928","CloseFile","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS",""
"13:51:19.5731867","Notepad.exe","9928","ReadFile","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Offset: 275968, Length: 14848, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"13:51:19.5734473","Notepad.exe","9928","ReadFile","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Offset: 82944, Length: 4096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"13:51:19.5736739","Notepad.exe","9928","ReadFile","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Offset: 82944, Length: 32768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"13:51:19.5740512","Notepad.exe","9928","ReadFile","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Offset: 212480, Length: 16384, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"13:51:19.5743589","Notepad.exe","9928","ReadFile","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Offset: 78848, Length: 4096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"13:51:19.5750214","Notepad.exe","9928","ReadFile","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Offset: 50176, Length: 32768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"13:51:19.5754955","Notepad.exe","9928","ReadFile","C:\Users\Research\Downloads\injector\rs.dll","SUCCESS","Offset: 164864, Length: 31232, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
